Date Time,Baudrate,Data analog1,Data analog2
2020 06 07 05:50:05,115200,35,61
2020 06 07 05:50:05,115200,35,61
2020 06 07 05:50:06,115200,35,60
2020 06 07 05:50:06,115200,36,61
2020 06 07 05:50:07,115200,40,61
2020 06 07 05:50:08,115200,42,61
2020 06 07 05:50:08,115200,45,61
2020 06 07 05:50:09,115200,48,61
2020 06 07 05:50:09,115200,51,61
2020 06 07 05:50:10,115200,55,62
2020 06 07 05:50:11,115200,62,61
2020 06 07 05:50:11,115200,62,61
2020 06 07 05:50:12,115200,65,61
2020 06 07 05:50:12,115200,73,61
2020 06 07 05:50:13,115200,79,61
2020 06 07 05:50:13,115200,86,61
2020 06 07 05:50:14,115200,98,61
2020 06 07 05:50:15,115200,99,61
2020 06 07 05:50:15,115200,100,61
2020 06 07 05:50:16,115200,100,61
