Date Time,Baudrate,Data analog1,Data analog2
2020 06 13 02:45:16,115200,59,43
2020 06 13 02:45:16,115200,59,43
2020 06 13 02:45:16,115200,60,43
2020 06 13 02:45:16,115200,59,42
2020 06 13 02:45:16,115200,59,43
2020 06 13 02:45:16,115200,59,43
2020 06 13 02:45:16,115200,59,43
2020 06 13 02:45:16,115200,59,43
2020 06 13 02:45:16,115200,59,43
2020 06 13 02:45:16,115200,59,43
2020 06 13 02:45:16,115200,59,43
2020 06 13 02:45:16,115200,59,43
2020 06 13 02:45:16,115200,60,43
2020 06 13 02:45:16,115200,60,42
2020 06 13 02:45:16,115200,59,43
2020 06 13 02:45:16,115200,59,43
2020 06 13 02:45:16,115200,59,43
2020 06 13 02:45:16,115200,59,43
2020 06 13 02:45:16,115200,59,43
2020 06 13 02:45:16,115200,59,43
2020 06 13 02:45:16,115200,59,43
2020 06 13 02:45:16,115200,59,43
2020 06 13 02:45:16,115200,59,43
2020 06 13 02:45:16,115200,60,43
2020 06 13 02:45:17,115200,59,43
2020 06 13 02:45:18,115200,59,43
2020 06 13 02:45:18,115200,59,43
2020 06 13 02:45:19,115200,59,43
