Date Time,Baudrate,Data analog1,Data analog2
2020 06 10 22:14:23,115200,43,36
2020 06 10 22:14:23,115200,43,36
2020 06 10 22:14:24,115200,43,36
2020 06 10 22:14:24,115200,43,35
2020 06 10 22:14:25,115200,41,36
2020 06 10 22:14:25,115200,37,36
2020 06 10 22:14:26,115200,34,36
2020 06 10 22:14:26,115200,32,36
2020 06 10 22:14:27,115200,29,36
2020 06 10 22:14:27,115200,26,36
2020 06 10 22:14:28,115200,28,36
2020 06 10 22:14:28,115200,32,36
2020 06 10 22:14:29,115200,37,36
2020 06 10 22:14:29,115200,43,36
2020 06 10 22:14:30,115200,44,36
2020 06 10 22:14:30,115200,44,36
2020 06 10 22:14:31,115200,44,36
2020 06 10 22:14:31,115200,44,32
2020 06 10 22:14:32,115200,44,28
2020 06 10 22:14:32,115200,44,25
2020 06 10 22:14:33,115200,44,22
2020 06 10 22:14:33,115200,44,19
2020 06 10 22:14:34,115200,44,17
2020 06 10 22:14:34,115200,44,14
2020 06 10 22:14:35,115200,44,16
2020 06 10 22:14:35,115200,44,20
2020 06 10 22:14:36,115200,44,23
2020 06 10 22:14:36,115200,44,25
2020 06 10 22:14:37,115200,43,28
2020 06 10 22:14:37,115200,44,29
2020 06 10 22:14:38,115200,44,30
2020 06 10 22:14:38,115200,44,31
2020 06 10 22:14:39,115200,44,33
2020 06 10 22:14:39,115200,44,34
2020 06 10 22:14:40,115200,44,36
2020 06 10 22:14:40,115200,44,38
2020 06 10 22:14:41,115200,44,40
2020 06 10 22:14:41,115200,44,41
2020 06 10 22:14:42,115200,44,43
2020 06 10 22:14:42,115200,44,46
2020 06 10 22:14:43,115200,44,48
2020 06 10 22:14:43,115200,44,48
2020 06 10 22:14:44,115200,44,48
2020 06 10 22:14:44,115200,44,48
2020 06 10 22:14:45,115200,44,48
2020 06 10 22:14:45,115200,44,48
2020 06 10 22:14:46,115200,43,48
2020 06 10 22:14:46,115200,44,48
2020 06 10 22:14:47,115200,44,48
2020 06 10 22:14:47,115200,44,48
2020 06 10 22:14:48,115200,44,48
2020 06 10 22:14:48,115200,44,48
2020 06 10 22:14:49,115200,44,48
2020 06 10 22:14:49,115200,44,48
2020 06 10 22:14:50,115200,44,48
2020 06 10 22:14:50,115200,44,48
2020 06 10 22:14:51,115200,44,48
2020 06 10 22:14:51,115200,44,48
2020 06 10 22:14:52,115200,44,48
2020 06 10 22:14:52,115200,44,48
2020 06 10 22:14:53,115200,44,48
2020 06 10 22:14:53,115200,44,48
2020 06 10 22:14:54,115200,44,48
2020 06 10 22:14:54,115200,44,48
2020 06 10 22:14:55,115200,44,48
2020 06 10 22:14:55,115200,44,48
2020 06 10 22:14:56,115200,44,48
2020 06 10 22:14:56,115200,44,48
2020 06 10 22:14:57,115200,44,48
2020 06 10 22:14:57,115200,44,48
2020 06 10 22:14:58,115200,44,48
2020 06 10 22:14:58,115200,44,48
2020 06 10 22:14:59,115200,44,47
2020 06 10 22:14:59,115200,44,48
2020 06 10 22:15:00,115200,44,48
2020 06 10 22:15:00,115200,44,48
2020 06 10 22:15:01,115200,44,48
2020 06 10 22:15:01,115200,44,48
