Date Time,Baudrate,Data analog1,Data analog2
2020 06 11 22:19:02,115200,38,29
2020 06 11 22:19:02,115200,38,29
2020 06 11 22:19:03,115200,38,29
2020 06 11 22:19:03,115200,38,29
2020 06 11 22:19:04,115200,38,29
2020 06 11 22:19:04,115200,38,29
2020 06 11 22:19:05,115200,38,29
2020 06 11 22:19:05,115200,38,29
2020 06 11 22:19:06,115200,37,29
2020 06 11 22:19:06,115200,28,29
2020 06 11 22:19:07,115200,18,29
2020 06 11 22:19:07,115200,18,29
2020 06 11 22:19:08,115200,6,29
2020 06 11 22:19:08,115200,3,29
2020 06 11 22:19:09,115200,3,29
2020 06 11 22:19:09,115200,5,29
2020 06 11 22:19:10,115200,8,29
2020 06 11 22:19:10,115200,8,29
2020 06 11 22:19:10,115200,8,29
2020 06 11 22:19:11,115200,13,29
2020 06 11 22:19:11,115200,17,29
2020 06 11 22:19:12,115200,19,29
2020 06 11 22:19:12,115200,21,29
2020 06 11 22:19:13,115200,25,29
2020 06 11 22:19:13,115200,27,29
2020 06 11 22:19:14,115200,30,29
2020 06 11 22:19:14,115200,32,29
2020 06 11 22:19:15,115200,33,29
2020 06 11 22:19:15,115200,34,29
2020 06 11 22:19:16,115200,39,29
2020 06 11 22:19:16,115200,41,29
2020 06 11 22:19:17,115200,43,29
2020 06 11 22:19:17,115200,43,29
2020 06 11 22:19:18,115200,46,29
2020 06 11 22:19:18,115200,50,29
2020 06 11 22:19:19,115200,51,29
2020 06 11 22:19:19,115200,51,29
2020 06 11 22:19:20,115200,51,29
2020 06 11 22:19:20,115200,51,29
