Date Time,Baudrate,Data analog1,Data analog2
2020 07 05 21:05:29,115200,72,47
2020 07 05 21:05:30,115200,72,47
2020 07 05 21:05:30,115200,72,47
2020 07 05 21:05:31,115200,72,47
2020 07 05 21:05:31,115200,72,47
2020 07 05 21:05:32,115200,72,47
2020 07 05 21:05:32,115200,72,47
2020 07 05 21:05:33,115200,72,47
2020 07 05 21:05:33,115200,72,47
2020 07 05 21:05:34,115200,72,47
2020 07 05 21:05:34,115200,72,47
2020 07 05 21:05:35,115200,72,47
2020 07 05 21:05:35,115200,72,47
2020 07 05 21:05:36,115200,72,47
2020 07 05 21:05:36,115200,72,47
2020 07 05 21:05:37,115200,72,47
2020 07 05 21:05:37,115200,72,47
2020 07 05 21:05:38,115200,72,47
2020 07 05 21:05:38,115200,72,47
2020 07 05 21:05:39,115200,72,47
2020 07 05 21:05:39,115200,72,47
2020 07 05 21:05:40,115200,72,47
2020 07 05 21:05:40,115200,72,47
2020 07 05 21:05:41,115200,72,47
2020 07 05 21:05:41,115200,72,47
2020 07 05 21:05:42,115200,72,47
2020 07 05 21:05:42,115200,72,47
2020 07 05 21:05:43,115200,72,47
2020 07 05 21:05:43,115200,72,47
2020 07 05 21:05:44,115200,72,47
2020 07 05 21:05:44,115200,72,47
2020 07 05 21:05:45,115200,72,47
2020 07 05 21:05:45,115200,72,47
2020 07 05 21:05:46,115200,72,47
2020 07 05 21:05:46,115200,72,47
2020 07 05 21:05:47,115200,72,47
2020 07 05 21:05:47,115200,72,47
2020 07 05 21:05:48,115200,72,47
2020 07 05 21:05:48,115200,72,47
2020 07 05 21:05:49,115200,72,47
2020 07 05 21:05:49,115200,72,47
2020 07 05 21:05:50,115200,72,47
2020 07 05 21:05:50,115200,72,47
2020 07 05 21:05:51,115200,72,47
2020 07 05 21:05:51,115200,72,47
2020 07 05 21:05:52,115200,72,47
2020 07 05 21:05:52,115200,72,47
2020 07 05 21:05:53,115200,72,47
2020 07 05 21:05:53,115200,72,47
2020 07 05 21:05:54,115200,72,47
2020 07 05 21:05:54,115200,72,47
2020 07 05 21:05:55,115200,72,47
2020 07 05 21:05:55,115200,72,47
2020 07 05 21:05:56,115200,72,47
2020 07 05 21:05:56,115200,72,47
2020 07 05 21:05:57,115200,72,47
2020 07 05 21:05:57,115200,72,47
2020 07 05 21:05:58,115200,72,47
2020 07 05 21:05:58,115200,72,47
2020 07 05 21:05:59,115200,72,47
2020 07 05 21:05:59,115200,72,47
2020 07 05 21:06:00,115200,72,47
2020 07 05 21:06:00,115200,72,47
2020 07 05 21:06:01,115200,72,47
2020 07 05 21:06:01,115200,72,47
2020 07 05 21:06:02,115200,72,47
2020 07 05 21:06:02,115200,72,47
2020 07 05 21:06:03,115200,72,47
2020 07 05 21:06:03,115200,72,47
2020 07 05 21:06:04,115200,72,47
2020 07 05 21:06:04,115200,72,47
2020 07 05 21:06:05,115200,72,47
2020 07 05 21:06:05,115200,72,47
2020 07 05 21:06:06,115200,72,47
2020 07 05 21:06:06,115200,72,47
2020 07 05 21:06:07,115200,72,47
2020 07 05 21:06:07,115200,72,47
2020 07 05 21:06:08,115200,72,47
2020 07 05 21:06:09,115200,72,47
2020 07 05 21:06:09,115200,72,47
2020 07 05 21:06:09,115200,72,47
2020 07 05 21:06:10,115200,72,47
2020 07 05 21:06:10,115200,72,47
2020 07 05 21:06:11,115200,72,47
2020 07 05 21:06:11,115200,72,47
2020 07 05 21:06:12,115200,72,47
2020 07 05 21:06:12,115200,72,47
2020 07 05 21:06:13,115200,72,47
2020 07 05 21:06:13,115200,72,47
2020 07 05 21:06:14,115200,72,47
2020 07 05 21:06:14,115200,72,47
2020 07 05 21:06:15,115200,72,47
2020 07 05 21:06:15,115200,72,47
2020 07 05 21:06:16,115200,72,47
2020 07 05 21:06:16,115200,72,47
2020 07 05 21:06:17,115200,72,47
2020 07 05 21:06:17,115200,72,47
2020 07 05 21:06:18,115200,72,47
2020 07 05 21:06:18,115200,72,47
2020 07 05 21:06:19,115200,72,47
2020 07 05 21:06:19,115200,72,47
2020 07 05 21:06:20,115200,72,47
2020 07 05 21:06:20,115200,72,47
2020 07 05 21:06:21,115200,72,47
2020 07 05 21:06:21,115200,72,47
2020 07 05 21:06:22,115200,72,47
2020 07 05 21:06:22,115200,72,47
2020 07 05 21:06:23,115200,72,47
2020 07 05 21:06:23,115200,72,47
2020 07 05 21:06:24,115200,72,47
2020 07 05 21:06:24,115200,72,47
2020 07 05 21:06:25,115200,72,47
2020 07 05 21:06:25,115200,72,47
2020 07 05 21:06:26,115200,72,47
2020 07 05 21:06:26,115200,72,47
2020 07 05 21:06:27,115200,72,47
2020 07 05 21:06:27,115200,72,47
2020 07 05 21:06:28,115200,72,47
2020 07 05 21:06:28,115200,72,47
2020 07 05 21:06:29,115200,72,47
2020 07 05 21:06:29,115200,72,47
2020 07 05 21:06:30,115200,72,47
2020 07 05 21:06:30,115200,72,47
2020 07 05 21:06:31,115200,72,47
2020 07 05 21:06:31,115200,72,47
2020 07 05 21:06:32,115200,72,47
2020 07 05 21:06:32,115200,72,47
2020 07 05 21:06:33,115200,72,43
2020 07 05 21:06:33,115200,72,33
2020 07 05 21:06:34,115200,72,27
2020 07 05 21:06:34,115200,72,25
2020 07 05 21:06:35,115200,72,25
2020 07 05 21:06:35,115200,72,25
2020 07 05 21:06:36,115200,72,27
2020 07 05 21:06:36,115200,72,39
2020 07 05 21:06:37,115200,72,50
2020 07 05 21:06:37,115200,72,56
2020 07 05 21:06:38,115200,72,61
2020 07 05 21:06:38,115200,72,61
2020 07 05 21:06:39,115200,72,61
2020 07 05 21:06:39,115200,86,61
2020 07 05 21:06:40,115200,96,61
2020 07 05 21:06:40,115200,90,61
2020 07 05 21:06:41,115200,77,61
2020 07 05 21:06:41,115200,72,61
2020 07 05 21:06:42,115200,66,61
2020 07 05 21:06:42,115200,66,61
2020 07 05 21:06:43,115200,66,61
2020 07 05 21:06:43,115200,66,61
2020 07 05 21:06:44,115200,66,61
2020 07 05 21:06:44,115200,66,61
2020 07 05 21:06:45,115200,66,61
