Date Time,Baudrate,Data analog1,Data analog2
2020 06 09 20:32:13,115200,42,32
2020 06 09 20:32:13,115200,42,32
2020 06 09 20:32:14,115200,42,32
2020 06 09 20:32:14,115200,42,32
2020 06 09 20:32:15,115200,42,32
2020 06 09 20:32:15,115200,42,32
2020 06 09 20:32:16,115200,42,32
2020 06 09 20:32:16,115200,42,32
2020 06 09 20:32:17,115200,42,32
2020 06 09 20:32:17,115200,42,32
2020 06 09 20:32:18,115200,42,32
2020 06 09 20:32:18,115200,42,32
2020 06 09 20:32:19,115200,42,32
2020 06 09 20:32:19,115200,42,32
2020 06 09 20:32:20,115200,42,32
2020 06 09 20:32:20,115200,42,32
2020 06 09 20:32:21,115200,42,31
2020 06 09 20:32:21,115200,42,32
2020 06 09 20:32:22,115200,42,32
2020 06 09 20:32:22,115200,42,32
2020 06 09 20:32:23,115200,42,27
2020 06 09 20:32:23,115200,42,19
2020 06 09 20:32:24,115200,42,14
2020 06 09 20:32:24,115200,42,14
2020 06 09 20:32:25,115200,42,14
2020 06 09 20:32:25,115200,42,8
2020 06 09 20:32:26,115200,42,4
2020 06 09 20:32:26,115200,42,2
2020 06 09 20:32:27,115200,41,0
2020 06 09 20:32:27,115200,42,0
2020 06 09 20:32:28,115200,42,2
2020 06 09 20:32:28,115200,42,6
2020 06 09 20:32:29,115200,42,6
2020 06 09 20:32:29,115200,42,6
2020 06 09 20:32:30,115200,42,13
2020 06 09 20:32:30,115200,42,15
2020 06 09 20:32:31,115200,42,16
2020 06 09 20:32:31,115200,42,18
2020 06 09 20:32:32,115200,42,20
2020 06 09 20:32:32,115200,42,22
2020 06 09 20:32:33,115200,42,23
2020 06 09 20:32:33,115200,42,25
2020 06 09 20:32:34,115200,42,26
2020 06 09 20:32:34,115200,42,27
2020 06 09 20:32:35,115200,42,27
2020 06 09 20:32:35,115200,42,27
2020 06 09 20:32:36,115200,42,27
2020 06 09 20:32:36,115200,42,27
2020 06 09 20:32:37,115200,42,27
2020 06 09 20:32:37,115200,42,27
2020 06 09 20:32:38,115200,42,27
